"","PredNB"
"1","No"
"2","No"
"3","Yes"
"4","No"
"5","No"
"6","No"
"7","No"
"8","No"
"9","No"
"10","No"
"11","No"
"12","No"
"13","No"
"14","No"
"15","No"
"16","No"
"17","No"
"18","No"
"19","No"
"20","No"
"21","Yes"
"22","No"
"23","No"
"24","No"
"25","No"
"26","No"
"27","Yes"
"28","Yes"
"29","Yes"
"30","Yes"
"31","No"
"32","No"
"33","No"
"34","Yes"
"35","Yes"
"36","Yes"
"37","No"
"38","No"
"39","No"
"40","No"
"41","No"
"42","No"
"43","No"
"44","No"
"45","Yes"
"46","No"
"47","No"
"48","No"
"49","Yes"
"50","No"
"51","No"
"52","No"
"53","No"
"54","No"
"55","No"
"56","No"
"57","No"
"58","No"
"59","No"
"60","No"
"61","No"
"62","No"
"63","Yes"
"64","No"
"65","No"
"66","No"
"67","No"
"68","No"
"69","No"
"70","No"
"71","Yes"
"72","No"
"73","No"
"74","No"
"75","No"
"76","Yes"
"77","No"
"78","No"
"79","No"
"80","No"
"81","No"
"82","No"
"83","No"
"84","No"
"85","No"
"86","No"
"87","No"
"88","No"
"89","No"
"90","Yes"
"91","No"
"92","No"
"93","No"
"94","No"
"95","No"
"96","No"
"97","No"
"98","No"
"99","No"
"100","Yes"
"101","No"
"102","No"
"103","No"
"104","No"
"105","Yes"
"106","No"
"107","No"
"108","No"
"109","No"
"110","No"
"111","No"
"112","No"
"113","No"
"114","No"
"115","No"
"116","No"
"117","No"
"118","No"
"119","No"
"120","No"
"121","No"
"122","No"
"123","No"
"124","No"
"125","No"
"126","No"
"127","No"
"128","No"
"129","No"
"130","No"
"131","No"
"132","No"
"133","No"
"134","No"
"135","No"
"136","No"
"137","No"
"138","No"
"139","Yes"
"140","Yes"
"141","No"
"142","No"
"143","No"
"144","No"
"145","No"
"146","No"
"147","Yes"
"148","Yes"
"149","No"
"150","No"
"151","No"
"152","No"
"153","No"
"154","No"
"155","Yes"
"156","No"
"157","Yes"
"158","No"
"159","Yes"
"160","No"
"161","No"
"162","Yes"
"163","No"
"164","No"
"165","No"
"166","Yes"
"167","No"
"168","No"
"169","No"
"170","No"
"171","Yes"
"172","No"
"173","Yes"
"174","No"
"175","No"
"176","No"
"177","No"
"178","Yes"
"179","No"
"180","No"
"181","Yes"
"182","No"
"183","No"
"184","No"
"185","No"
"186","No"
"187","No"
"188","Yes"
"189","No"
"190","No"
"191","No"
"192","No"
"193","No"
"194","No"
"195","No"
"196","No"
"197","No"
"198","Yes"
"199","No"
"200","No"
"201","No"
"202","No"
"203","No"
"204","No"
"205","No"
"206","Yes"
"207","No"
"208","No"
"209","No"
"210","No"
"211","Yes"
"212","No"
"213","No"
"214","No"
"215","No"
"216","No"
"217","Yes"
"218","No"
"219","Yes"
"220","No"
"221","No"
"222","No"
"223","No"
"224","No"
"225","Yes"
"226","No"
"227","No"
"228","No"
"229","Yes"
"230","No"
"231","No"
"232","No"
"233","No"
"234","Yes"
"235","No"
"236","No"
"237","No"
"238","No"
"239","No"
"240","No"
"241","Yes"
"242","No"
"243","No"
"244","No"
"245","No"
"246","No"
"247","Yes"
"248","No"
"249","No"
"250","No"
"251","Yes"
"252","No"
"253","No"
"254","No"
"255","No"
"256","No"
"257","No"
"258","No"
"259","No"
"260","No"
"261","No"
"262","No"
"263","No"
"264","No"
"265","No"
"266","No"
"267","No"
"268","No"
"269","Yes"
"270","No"
"271","Yes"
"272","Yes"
"273","No"
"274","Yes"
"275","Yes"
"276","No"
"277","No"
"278","No"
"279","Yes"
"280","Yes"
"281","Yes"
"282","No"
"283","No"
"284","No"
"285","Yes"
"286","Yes"
"287","Yes"
"288","Yes"
"289","Yes"
"290","Yes"
"291","No"
"292","No"
"293","Yes"
"294","No"
"295","Yes"
"296","No"
"297","No"
"298","Yes"
"299","No"
"300","No"
