,fit,lwr,upr,
1,8.643070422,8.527044052,8.759096792,5670.714606
2,7.99754702,7.909612928,8.085481113,2973.654719
3,9.65694512,9.529002054,9.784888185,15629.964
4,7.960549469,7.853986876,8.067112062,2865.647105
5,8.064924985,7.947939535,8.181910435,3180.917592
6,8.284957332,8.148522547,8.421392116,3963.795607
7,8.532685181,8.422546797,8.642823565,5078.063063
8,7.792115588,7.677969005,7.906262171,2421.434927
9,8.092143425,7.956373128,8.227913722,3268.686251
10,9.597572221,9.47282707,9.722317372,14728.97942
11,9.073577631,8.937584174,9.209571089,8721.771336
12,7.951625838,7.867257687,8.035993989,2840.188886
13,8.471797813,8.383344234,8.560251392,4778.097879
14,8.536817977,8.425254791,8.648381163,5099.093089
15,8.523069037,8.424864042,8.621274032,5029.465711
16,8.419332447,8.308053204,8.530611691,4533.875844
17,8.527114293,8.391742489,8.662486097,5049.852395
18,8.420459646,8.322861243,8.518058049,4538.989305
19,8.528560919,8.432282057,8.624839782,5057.162931
20,7.928975634,7.821100086,8.036851182,2776.581111
21,8.577067365,8.48617557,8.667959159,5308.514738
22,9.012901589,8.9086228,9.117180379,8208.303883
23,8.949714243,8.839635422,9.059793064,7705.689589
24,8.563495179,8.451314449,8.675675909,5236.95331
25,9.193117811,9.085046487,9.301189136,9829.248999
26,9.143798664,9.053316623,9.234280704,9356.238918
27,8.911656144,8.804975046,9.018337243,7417.936104
28,9.557085387,9.436383216,9.677787558,14144.56015
29,8.493461164,8.390167804,8.596754524,4882.736811
30,7.949721991,7.875332224,8.024111758,2834.786746
31,8.020007008,7.918105402,8.121908615,3041.198647
32,8.560304078,8.450255593,8.670352564,5220.2683
33,8.6487317,8.553140973,8.744322427,5702.909145
34,8.049140548,7.948582732,8.149698363,3131.102781
35,9.5668681,9.463990755,9.669745445,14283.61136
36,8.42459765,8.337032348,8.512162951,4557.810573
37,9.084197663,8.964346821,9.204048504,8814.89041
38,8.583137879,8.489713842,8.676561915,5340.838163
39,7.844793255,7.745533999,7.94405251,2552.409911
40,7.855404795,7.774047753,7.936761837,2579.639127
41,10.22057435,10.11523069,10.32591801,27462.43503
42,7.98896891,7.865373811,8.112564008,2948.255475
43,8.018408523,7.924442265,8.11237478,3036.341218
44,9.074996776,8.971401464,9.178592088,8734.157581
45,8.509092514,8.415641843,8.602543186,4959.660225
46,8.510769256,8.415607815,8.605930696,4967.983269
47,7.949402668,7.863705701,8.035099636,2833.881677
48,8.431826796,8.354509337,8.509144255,4590.879037
49,7.921991916,7.825360789,8.018623043,2757.257804
50,8.07869155,7.941493862,8.215889239,3225.010711
51,7.940487065,7.845928129,8.035046002,2808.72821
52,7.918261998,7.8127868,8.023737195,2746.992616
53,8.498866318,8.379680509,8.618052126,4909.200211
54,8.459360943,8.344515859,8.574206027,4719.041296
55,9.71071241,9.578366837,9.843057983,16493.34772
56,8.114290897,8.026969643,8.201612151,3341.887001
57,8.521891738,8.435513017,8.608270458,5023.548009
58,9.14838117,9.024662585,9.272099756,9399.212332
59,7.892593705,7.783304742,8.001882667,2677.379254
60,7.955729627,7.87143266,8.040026594,2851.868371
61,8.592200561,8.471938487,8.712462635,5389.460471
62,9.122463054,9.017649561,9.227276547,9158.73231
63,9.154866537,9.054679148,9.255053926,9460.367762
64,7.91405252,7.775744908,8.052360132,2735.453515
65,7.750408171,7.635977473,7.864838868,2322.520206
66,7.791648246,7.69480423,7.888492262,2420.303552
67,9.073580022,8.985746866,9.161413179,8721.792191
68,8.952602291,8.832709988,9.072494594,7727.976161
69,8.615199285,8.501491316,8.728907254,5514.847531
70,7.923201347,7.837395022,8.009007672,2760.594535
71,7.854219052,7.740828975,7.967609129,2576.582152
72,9.096250835,8.992568549,9.199933122,8921.780696
73,9.26782562,9.136347437,9.399303803,10591.69645
74,8.521060148,8.433650339,8.608469958,5019.372217
75,7.842113165,7.750933406,7.933292925,2545.578382
76,8.55314639,8.430453401,8.67583938,5183.036655
77,7.778187322,7.674972597,7.881402047,2387.942323
78,8.022109899,7.914145515,8.130074283,3047.600683
79,7.867637527,7.742486558,7.992788495,2611.388958
80,8.441791186,8.333617449,8.549964924,4636.853019
81,7.830835072,7.705713692,7.955956452,2517.030398
82,8.600139745,8.497580322,8.702699169,5432.418694
83,8.492190879,8.384121249,8.60026051,4876.538286
84,7.971040573,7.87997105,8.062110096,2895.86916
85,8.485597456,8.389514234,8.581680678,4844.490971
86,8.948161059,8.830949102,9.065373016,7693.730527
87,9.105628252,8.96392928,9.247327225,9005.837458
88,8.001769453,7.879844162,8.123694745,2986.237322
89,9.069382798,8.971857549,9.166908047,8685.261589
90,10.10717958,9.959044874,10.25531429,24518.41095
91,8.016952248,7.928365284,8.105539212,3031.92269
